cpu,case,family,dtype,atol,rtol,max_diff,max_tolerance_fraction,status
cortex-m55,gru_unidirectional_float_pre_reset_multi_batch_f16,LSTMFunctions,FP16,0.01,0.01,0.00805664062,0.537547,PASS
cortex-m55,gru_unidirectional_float_pre_reset_multi_batch_f32,LSTMFunctions,FP32,5e-05,2e-05,1.77323818e-05,0.300469,PASS
cortex-m55,gru_unidirectional_float_reset_after_f16,LSTMFunctions,FP16,0.01,0.01,0.00244140625,0.176243,PASS
cortex-m55,gru_unidirectional_float_reset_after_f32,LSTMFunctions,FP32,5e-05,2e-05,1.49905682e-05,0.259775,PASS
cortex-m55,gru_unidirectional_float_stream_f16,LSTMFunctions,FP16,0.01,0.01,0.00244140625,0.176243,PASS
cortex-m55,gru_unidirectional_float_stream_f32,LSTMFunctions,FP32,5e-05,2e-05,1.49905682e-05,0.259775,PASS
cortex-m55,gru_unidirectional_float_time_major_f16,LSTMFunctions,FP16,0.01,0.01,0.00537109375,0.383142,PASS
cortex-m55,gru_unidirectional_float_time_major_f32,LSTMFunctions,FP32,5e-05,2e-05,1.33812428e-05,0.235448,PASS
cortex-m55,lstm_unidirectional_float_clip_tail9_time_major_f16,LSTMFunctions,FP16,0.01,0.01,0.00415039062,0.321867,PASS
cortex-m55,lstm_unidirectional_float_clip_tail9_time_major_f32,LSTMFunctions,FP32,5e-05,2e-05,1.91926956e-05,0.353752,PASS
cortex-m55,lstm_unidirectional_float_clip_vec8_batch2_f16,LSTMFunctions,FP16,0.01,0.01,0.00341796875,0.282343,PASS
cortex-m55,lstm_unidirectional_float_clip_vec8_batch2_f32,LSTMFunctions,FP32,5e-05,2e-05,1.67638063e-05,0.312417,PASS
cortex-m55,lstm_unidirectional_float_default_f16,LSTMFunctions,FP16,0.001,0.001,0.000244140625,0.232897,PASS
cortex-m55,lstm_unidirectional_float_default_f32,LSTMFunctions,FP32,5e-05,2e-05,6.88433647e-06,0.133123,PASS
cortex-m55,lstm_unidirectional_float_larger_f16,LSTMFunctions,FP16,0.01,0.01,0.00134277344,0.122522,PASS
cortex-m55,lstm_unidirectional_float_larger_f32,LSTMFunctions,FP32,5e-05,2e-05,9.521842e-06,0.182709,PASS
cortex-m55,lstm_unidirectional_float_time_major_f16,LSTMFunctions,FP16,0.001,0.001,0.000244140625,0.232897,PASS
cortex-m55,lstm_unidirectional_float_time_major_f32,LSTMFunctions,FP32,5e-05,2e-05,6.88433647e-06,0.133123,PASS
cortex-m55,max_pool_float_1d_k2s2_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,max_pool_float_1d_k2s2_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,max_pool_float_1d_k3s1_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,max_pool_float_1d_k3s1_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,max_pool_float_1d_k3s3_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,max_pool_float_1d_k3s3_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,max_pool_float_1d_k3s3_unclipped_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,max_pool_float_default_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,max_pool_float_default_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,max_pool_float_nhwc_alias_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,max_pool_float_nhwc_alias_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,max_pool_float_rect_kernel_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,max_pool_float_rect_kernel_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,max_pool_float_same_stride1_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,max_pool_float_same_stride1_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,maximum_float_batch_scalar_right_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,maximum_float_batch_scalar_right_f32,BasicMathFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,maximum_float_channel_broadcast_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,maximum_float_channel_broadcast_f32,BasicMathFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,maximum_float_channel_scalar_right_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,maximum_float_channel_scalar_right_f32,BasicMathFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,maximum_float_default_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,maximum_float_default_f32,BasicMathFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,maximum_float_height_broadcast_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,maximum_float_height_broadcast_f32,BasicMathFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,maximum_float_row_scalar_right_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,maximum_float_row_scalar_right_f32,BasicMathFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,maximum_float_scalar_broadcast_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,maximum_float_scalar_broadcast_f32,BasicMathFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
